strategy,method,qid,query_style,question,first_relevant_rank,query_ms,retrieved_chars,retrieved_ids,hit@1,rr@1,hit@3,rr@3,hit@5,rr@5
fixed,semantic,q12,paraphrase,"How many vendor quotes are required for purchases over $10,000?",1,2.0,369.8,procurement-policy.md__fixed__0002|procurement-policy.md__fixed__0001|it-security-policy.md__fixed__0002|onboarding-guide.md__fixed__0000|it-security-policy.md__fixed__0004,1,1.0,1,1.0,1,1.0
fixed,semantic,q13,keyword,What is the minimum password length required by the IT security policy?,,1.8,332.6,it-security-policy.md__fixed__0000|data-privacy-policy.md__fixed__0004|onboarding-guide.md__fixed__0005|remote-work-policy.md__fixed__0005|travel-policy.md__fixed__0003,0,0.0,0,0.0,0,0.0
fixed,semantic,q14,paraphrase,How often must employees rotate their passwords?,,2.7,403.0,benefits-policy.md__fixed__0001|remote-work-policy.md__fixed__0003|it-security-policy.md__fixed__0007|benefits-policy.md__fixed__0004|code-of-conduct.md__fixed__0002,0,0.0,0,0.0,0,0.0
fixed,semantic,q15,keyword,What is the annual tuition assistance limit Northwind reimburses?,1,4.3,346.4,benefits-policy.md__fixed__0007|leave-policy.md__fixed__0003|travel-policy.md__fixed__0002|benefits-policy.md__fixed__0006|travel-policy.md__fixed__0003,1,1.0,1,1.0,1,1.0
fixed,semantic,q16,paraphrase,How much of the medical premium does Northwind cover for the employee?,1,1.8,387.0,benefits-policy.md__fixed__0003|benefits-policy.md__fixed__0002|leave-policy.md__fixed__0004|benefits-policy.md__fixed__0006|data-privacy-policy.md__fixed__0005,1,1.0,1,1.0,1,1.0
fixed,semantic,q17,keyword,What value of gift requires disclosure in the Gifts Register?,1,1.4,415.8,code-of-conduct.md__fixed__0003|data-privacy-policy.md__fixed__0005|procurement-policy.md__fixed__0006|expense-reimbursement-policy.md__fixed__0006|remote-work-policy.md__fixed__0001,1,1.0,1,1.0,1,1.0
fixed,semantic,q18,paraphrase,Within how many days must a new employee complete mandatory training modules?,1,2.4,379.0,onboarding-guide.md__fixed__0004|code-of-conduct.md__fixed__0002|benefits-policy.md__fixed__0001|data-privacy-policy.md__fixed__0007|code-of-conduct.md__fixed__0003,1,1.0,1,1.0,1,1.0
fixed,semantic,q19,keyword,What is the daily per diem for domestic business travel?,1,1.4,363.8,travel-policy.md__fixed__0003|travel-policy.md__fixed__0002|expense-reimbursement-policy.md__fixed__0004|travel-policy.md__fixed__0006|travel-policy.md__fixed__0004,1,1.0,1,1.0,1,1.0
fixed,semantic,q20,paraphrase,How much parental leave does the primary caregiver receive?,1,1.5,430.6,leave-policy.md__fixed__0004|leave-policy.md__fixed__0003|expense-reimbursement-policy.md__fixed__0006|benefits-policy.md__fixed__0004|procurement-policy.md__fixed__0004,1,1.0,1,1.0,1,1.0
fixed,hybrid,q01,paraphrase,How many days of paid annual leave does a full-time employee receive?,2,5.9,431.0,leave-policy.md__fixed__0002|leave-policy.md__fixed__0001|leave-policy.md__fixed__0003|leave-policy.md__fixed__0006|procurement-policy.md__fixed__0001,0,0.0,1,0.5,1,0.5
fixed,hybrid,q02,keyword,What is the carryover limit for unused annual leave days?,1,2.9,418.6,leave-policy.md__fixed__0002|leave-policy.md__fixed__0001|leave-policy.md__fixed__0003|travel-policy.md__fixed__0002|benefits-policy.md__fixed__0004,1,1.0,1,1.0,1,1.0
fixed,hybrid,q03,paraphrase,How much does the company reimburse per mile when I drive my own car?,3,5.7,375.8,remote-work-policy.md__fixed__0005|expense-reimbursement-policy.md__fixed__0003|travel-policy.md__fixed__0005|code-of-conduct.md__fixed__0005|leave-policy.md__fixed__0003,0,0.0,1,0.3333,1,0.3333
fixed,hybrid,q04,keyword,What is the submission deadline for expense claims after an expense is incurred?,1,4.9,419.4,expense-reimbursement-policy.md__fixed__0001|expense-reimbursement-policy.md__fixed__0002|travel-policy.md__fixed__0005|leave-policy.md__fixed__0006|travel-policy.md__fixed__0002,1,1.0,1,1.0,1,1.0
fixed,hybrid,q05,paraphrase,How quickly must an employee report a suspected security incident to IT?,1,7.3,382.4,it-security-policy.md__fixed__0005|data-privacy-policy.md__fixed__0005|code-of-conduct.md__fixed__0003|code-of-conduct.md__fixed__0006|it-security-policy.md__fixed__0000,1,1.0,1,1.0,1,1.0
fixed,hybrid,q06,keyword,What encryption standard is used to protect personal data at rest?,2,4.5,379.0,data-privacy-policy.md__fixed__0001|data-privacy-policy.md__fixed__0004|data-privacy-policy.md__fixed__0000|code-of-conduct.md__fixed__0005|it-security-policy.md__fixed__0006,0,0.0,1,0.5,1,0.5
fixed,hybrid,q07,paraphrase,How long does Northwind have to notify the supervisory authority after discovering a data breach?,1,5.7,386.0,data-privacy-policy.md__fixed__0005|data-privacy-policy.md__fixed__0001|data-privacy-policy.md__fixed__0002|it-security-policy.md__fixed__0006|leave-policy.md__fixed__0003,1,1.0,1,1.0,1,1.0
fixed,hybrid,q08,keyword,What is the annual home-office stipend amount for remote workers?,1,3.4,401.4,remote-work-policy.md__fixed__0004|benefits-policy.md__fixed__0004|leave-policy.md__fixed__0003|remote-work-policy.md__fixed__0006|expense-reimbursement-policy.md__fixed__0006,1,1.0,1,1.0,1,1.0
fixed,hybrid,q09,paraphrase,After how many months of employment can someone start working from home?,,2.3,404.2,leave-policy.md__fixed__0004|data-privacy-policy.md__fixed__0002|leave-policy.md__fixed__0003|code-of-conduct.md__fixed__0007|benefits-policy.md__fixed__0002,0,0.0,0,0.0,0,0.0
fixed,hybrid,q10,keyword,What is the company-wide default anchor day for in-office attendance?,1,2.4,395.6,remote-work-policy.md__fixed__0002|onboarding-guide.md__fixed__0001|benefits-policy.md__fixed__0003|data-privacy-policy.md__fixed__0008|leave-policy.md__fixed__0003,1,1.0,1,1.0,1,1.0
fixed,hybrid,q11,keyword,What are the standard vendor payment terms in the procurement policy?,1,2.6,443.8,procurement-policy.md__fixed__0004|travel-policy.md__fixed__0003|expense-reimbursement-policy.md__fixed__0001|travel-policy.md__fixed__0007|expense-reimbursement-policy.md__fixed__0006,1,1.0,1,1.0,1,1.0
fixed,hybrid,q12,paraphrase,"How many vendor quotes are required for purchases over $10,000?",1,2.2,372.8,procurement-policy.md__fixed__0002|leave-policy.md__fixed__0003|procurement-policy.md__fixed__0001|procurement-policy.md__fixed__0005|it-security-policy.md__fixed__0002,1,1.0,1,1.0,1,1.0
fixed,hybrid,q13,keyword,What is the minimum password length required by the IT security policy?,,3.4,357.2,it-security-policy.md__fixed__0000|remote-work-policy.md__fixed__0005|data-privacy-policy.md__fixed__0004|expense-reimbursement-policy.md__fixed__0002|onboarding-guide.md__fixed__0005,0,0.0,0,0.0,0,0.0
fixed,hybrid,q14,paraphrase,How often must employees rotate their passwords?,,2.3,426.6,remote-work-policy.md__fixed__0003|benefits-policy.md__fixed__0001|leave-policy.md__fixed__0001|it-security-policy.md__fixed__0007|data-privacy-policy.md__fixed__0005,0,0.0,0,0.0,0,0.0
fixed,hybrid,q15,keyword,What is the annual tuition assistance limit Northwind reimburses?,1,3.6,385.8,benefits-policy.md__fixed__0007|leave-policy.md__fixed__0002|leave-policy.md__fixed__0003|remote-work-policy.md__fixed__0004|travel-policy.md__fixed__0002,1,1.0,1,1.0,1,1.0
fixed,hybrid,q16,paraphrase,How much of the medical premium does Northwind cover for the employee?,1,4.7,415.2,benefits-policy.md__fixed__0003|benefits-policy.md__fixed__0002|leave-policy.md__fixed__0003|leave-policy.md__fixed__0006|leave-policy.md__fixed__0004,1,1.0,1,1.0,1,1.0
fixed,hybrid,q17,keyword,What value of gift requires disclosure in the Gifts Register?,1,3.1,399.0,code-of-conduct.md__fixed__0003|remote-work-policy.md__fixed__0001|data-privacy-policy.md__fixed__0005|code-of-conduct.md__fixed__0002|procurement-policy.md__fixed__0006,1,1.0,1,1.0,1,1.0
fixed,hybrid,q18,paraphrase,Within how many days must a new employee complete mandatory training modules?,1,2.2,396.8,onboarding-guide.md__fixed__0004|data-privacy-policy.md__fixed__0007|onboarding-guide.md__fixed__0000|code-of-conduct.md__fixed__0002|it-security-policy.md__fixed__0007,1,1.0,1,1.0,1,1.0
fixed,hybrid,q19,keyword,What is the daily per diem for domestic business travel?,1,2.0,363.8,travel-policy.md__fixed__0003|expense-reimbursement-policy.md__fixed__0004|travel-policy.md__fixed__0002|travel-policy.md__fixed__0004|travel-policy.md__fixed__0006,1,1.0,1,1.0,1,1.0
fixed,hybrid,q20,paraphrase,How much parental leave does the primary caregiver receive?,1,1.7,427.6,leave-policy.md__fixed__0004|benefits-policy.md__fixed__0004|leave-policy.md__fixed__0003|leave-policy.md__fixed__0006|expense-reimbursement-policy.md__fixed__0006,1,1.0,1,1.0,1,1.0
semantic,semantic,q01,paraphrase,How many days of paid annual leave does a full-time employee receive?,3,1.9,876.2,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|leave-policy.md__semantic__0001|procurement-policy.md__semantic__0001|benefits-policy.md__semantic__0001,0,0.0,1,0.3333,1,0.3333
semantic,semantic,q02,keyword,What is the carryover limit for unused annual leave days?,3,1.8,764.2,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|leave-policy.md__semantic__0001|travel-policy.md__semantic__0001|leave-policy.md__semantic__0002,0,0.0,1,0.3333,1,0.3333
semantic,semantic,q03,paraphrase,How much does the company reimburse per mile when I drive my own car?,3,1.5,649.6,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|travel-policy.md__semantic__0002|travel-policy.md__semantic__0001|expense-reimbursement-policy.md__semantic__0001,0,0.0,1,0.3333,1,0.3333
semantic,semantic,q04,keyword,What is the submission deadline for expense claims after an expense is incurred?,3,1.4,752.0,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|expense-reimbursement-policy.md__semantic__0000|travel-policy.md__semantic__0002|travel-policy.md__semantic__0001,0,0.0,1,0.3333,1,0.3333
semantic,semantic,q05,paraphrase,How quickly must an employee report a suspected security incident to IT?,3,1.6,883.2,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|it-security-policy.md__semantic__0002|code-of-conduct.md__semantic__0002|it-security-policy.md__semantic__0000,0,0.0,1,0.3333,1,0.3333
semantic,semantic,q06,keyword,What encryption standard is used to protect personal data at rest?,4,1.7,1032.2,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|data-privacy-policy.md__semantic__0000|data-privacy-policy.md__semantic__0001|it-security-policy.md__semantic__0002,0,0.0,0,0.0,1,0.25
semantic,semantic,q07,paraphrase,How long does Northwind have to notify the supervisory authority after discovering a data breach?,3,1.9,859.6,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|data-privacy-policy.md__semantic__0001|data-privacy-policy.md__semantic__0000|onboarding-guide.md__semantic__0001,0,0.0,1,0.3333,1,0.3333
semantic,semantic,q08,keyword,What is the annual home-office stipend amount for remote workers?,3,2.2,917.2,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|remote-work-policy.md__semantic__0001|benefits-policy.md__semantic__0001|expense-reimbursement-policy.md__semantic__0002,0,0.0,1,0.3333,1,0.3333
semantic,semantic,q09,paraphrase,After how many months of employment can someone start working from home?,,3.5,875.4,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|benefits-policy.md__semantic__0001|code-of-conduct.md__semantic__0001|leave-policy.md__semantic__0002,0,0.0,0,0.0,0,0.0
semantic,semantic,q10,keyword,What is the company-wide default anchor day for in-office attendance?,3,2.5,1001.2,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|remote-work-policy.md__semantic__0001|travel-policy.md__semantic__0001|onboarding-guide.md__semantic__0000,0,0.0,1,0.3333,1,0.3333
semantic,semantic,q11,keyword,What are the standard vendor payment terms in the procurement policy?,5,2.1,784.4,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|travel-policy.md__semantic__0001|travel-policy.md__semantic__0002|procurement-policy.md__semantic__0001,0,0.0,0,0.0,1,0.2
semantic,semantic,q12,paraphrase,"How many vendor quotes are required for purchases over $10,000?",3,2.4,720.4,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|procurement-policy.md__semantic__0001|it-security-policy.md__semantic__0001|onboarding-guide.md__semantic__0000,0,0.0,1,0.3333,1,0.3333
semantic,semantic,q13,keyword,What is the minimum password length required by the IT security policy?,5,1.7,798.4,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|remote-work-policy.md__semantic__0001|travel-policy.md__semantic__0001|it-security-policy.md__semantic__0000,0,0.0,0,0.0,1,0.2
semantic,semantic,q14,paraphrase,How often must employees rotate their passwords?,,1.5,1005.6,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|benefits-policy.md__semantic__0001|onboarding-guide.md__semantic__0001|remote-work-policy.md__semantic__0001,0,0.0,0,0.0,0,0.0
semantic,semantic,q15,keyword,What is the annual tuition assistance limit Northwind reimburses?,3,1.7,802.0,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|benefits-policy.md__semantic__0002|remote-work-policy.md__semantic__0001|travel-policy.md__semantic__0001,0,0.0,1,0.3333,1,0.3333
semantic,semantic,q16,paraphrase,How much of the medical premium does Northwind cover for the employee?,3,1.5,804.6,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|benefits-policy.md__semantic__0001|leave-policy.md__semantic__0002|benefits-policy.md__semantic__0002,0,0.0,1,0.3333,1,0.3333
semantic,semantic,q17,keyword,What value of gift requires disclosure in the Gifts Register?,3,1.4,861.2,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|code-of-conduct.md__semantic__0001|data-privacy-policy.md__semantic__0001|procurement-policy.md__semantic__0002,0,0.0,1,0.3333,1,0.3333
semantic,semantic,q18,paraphrase,Within how many days must a new employee complete mandatory training modules?,3,1.7,842.6,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|onboarding-guide.md__semantic__0000|procurement-policy.md__semantic__0001|code-of-conduct.md__semantic__0001,0,0.0,1,0.3333,1,0.3333
semantic,semantic,q19,keyword,What is the daily per diem for domestic business travel?,3,1.6,649.6,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|travel-policy.md__semantic__0001|travel-policy.md__semantic__0002|expense-reimbursement-policy.md__semantic__0001,0,0.0,1,0.3333,1,0.3333
semantic,semantic,q20,paraphrase,How much parental leave does the primary caregiver receive?,3,1.4,802.2,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0002|leave-policy.md__semantic__0002|benefits-policy.md__semantic__0001|expense-reimbursement-policy.md__semantic__0002,0,0.0,1,0.3333,1,0.3333
semantic,hybrid,q01,paraphrase,How many days of paid annual leave does a full-time employee receive?,2,2.3,1298.2,data-privacy-policy.md__semantic__0002|leave-policy.md__semantic__0001|benefits-policy.md__semantic__0001|leave-policy.md__semantic__0002|remote-work-policy.md__semantic__0001,0,0.0,1,0.5,1,0.5
semantic,hybrid,q02,keyword,What is the carryover limit for unused annual leave days?,2,2.2,1129.0,data-privacy-policy.md__semantic__0002|leave-policy.md__semantic__0001|leave-policy.md__semantic__0002|travel-policy.md__semantic__0001|benefits-policy.md__semantic__0001,0,0.0,1,0.5,1,0.5
semantic,hybrid,q03,paraphrase,How much does the company reimburse per mile when I drive my own car?,2,2.1,1034.4,data-privacy-policy.md__semantic__0002|travel-policy.md__semantic__0002|expense-reimbursement-policy.md__semantic__0001|remote-work-policy.md__semantic__0001|leave-policy.md__semantic__0001,0,0.0,1,0.5,1,0.5
semantic,hybrid,q04,keyword,What is the submission deadline for expense claims after an expense is incurred?,2,2.8,899.0,data-privacy-policy.md__semantic__0002|expense-reimbursement-policy.md__semantic__0000|travel-policy.md__semantic__0001|leave-policy.md__semantic__0002|it-security-policy.md__semantic__0001,0,0.0,1,0.5,1,0.5
semantic,hybrid,q05,paraphrase,How quickly must an employee report a suspected security incident to IT?,2,2.6,1383.0,data-privacy-policy.md__semantic__0002|it-security-policy.md__semantic__0002|code-of-conduct.md__semantic__0002|data-privacy-policy.md__semantic__0001|code-of-conduct.md__semantic__0001,0,0.0,1,0.5,1,0.5
semantic,hybrid,q06,keyword,What encryption standard is used to protect personal data at rest?,3,2.4,1383.6,data-privacy-policy.md__semantic__0002|data-privacy-policy.md__semantic__0000|data-privacy-policy.md__semantic__0001|it-security-policy.md__semantic__0002|code-of-conduct.md__semantic__0002,0,0.0,1,0.3333,1,0.3333
semantic,hybrid,q07,paraphrase,How long does Northwind have to notify the supervisory authority after discovering a data breach?,2,4.8,1161.0,data-privacy-policy.md__semantic__0002|data-privacy-policy.md__semantic__0001|data-privacy-policy.md__semantic__0000|onboarding-guide.md__semantic__0001|leave-policy.md__semantic__0002,0,0.0,1,0.5,1,0.5
semantic,hybrid,q08,keyword,What is the annual home-office stipend amount for remote workers?,2,2.5,1206.0,data-privacy-policy.md__semantic__0002|remote-work-policy.md__semantic__0001|benefits-policy.md__semantic__0001|leave-policy.md__semantic__0001|code-of-conduct.md__semantic__0001,0,0.0,1,0.5,1,0.5
semantic,hybrid,q09,paraphrase,After how many months of employment can someone start working from home?,,3.0,1355.2,data-privacy-policy.md__semantic__0002|leave-policy.md__semantic__0002|onboarding-guide.md__semantic__0000|code-of-conduct.md__semantic__0002|benefits-policy.md__semantic__0001,0,0.0,0,0.0,0,0.0
semantic,hybrid,q10,keyword,What is the company-wide default anchor day for in-office attendance?,2,1.9,1420.2,data-privacy-policy.md__semantic__0002|remote-work-policy.md__semantic__0001|onboarding-guide.md__semantic__0000|leave-policy.md__semantic__0002|benefits-policy.md__semantic__0001,0,0.0,1,0.5,1,0.5
semantic,hybrid,q11,keyword,What are the standard vendor payment terms in the procurement policy?,2,1.8,1011.0,data-privacy-policy.md__semantic__0002|procurement-policy.md__semantic__0001|travel-policy.md__semantic__0001|travel-policy.md__semantic__0002|procurement-policy.md__semantic__0002,0,0.0,1,0.5,1,0.5
semantic,hybrid,q12,paraphrase,"How many vendor quotes are required for purchases over $10,000?",2,2.1,1001.4,data-privacy-policy.md__semantic__0002|procurement-policy.md__semantic__0001|procurement-policy.md__semantic__0002|expense-reimbursement-policy.md__semantic__0000|leave-policy.md__semantic__0001,0,0.0,1,0.5,1,0.5
semantic,hybrid,q13,keyword,What is the minimum password length required by the IT security policy?,3,3.7,1035.2,data-privacy-policy.md__semantic__0002|remote-work-policy.md__semantic__0001|it-security-policy.md__semantic__0000|it-security-policy.md__semantic__0002|it-security-policy.md__semantic__0001,0,0.0,1,0.3333,1,0.3333
semantic,hybrid,q14,paraphrase,How often must employees rotate their passwords?,,3.1,1157.8,data-privacy-policy.md__semantic__0002|remote-work-policy.md__semantic__0001|leave-policy.md__semantic__0001|expense-reimbursement-policy.md__semantic__0001|benefits-policy.md__semantic__0001,0,0.0,0,0.0,0,0.0
semantic,hybrid,q15,keyword,What is the annual tuition assistance limit Northwind reimburses?,2,2.4,1135.2,data-privacy-policy.md__semantic__0002|benefits-policy.md__semantic__0002|remote-work-policy.md__semantic__0001|leave-policy.md__semantic__0001|benefits-policy.md__semantic__0001,0,0.0,1,0.5,1,0.5
semantic,hybrid,q16,paraphrase,How much of the medical premium does Northwind cover for the employee?,3,2.1,1233.2,data-privacy-policy.md__semantic__0002|leave-policy.md__semantic__0002|benefits-policy.md__semantic__0001|code-of-conduct.md__semantic__0002|leave-policy.md__semantic__0001,0,0.0,1,0.3333,1,0.3333
semantic,hybrid,q17,keyword,What value of gift requires disclosure in the Gifts Register?,2,2.1,1083.0,data-privacy-policy.md__semantic__0002|code-of-conduct.md__semantic__0001|procurement-policy.md__semantic__0002|code-of-conduct.md__semantic__0002|procurement-policy.md__semantic__0001,0,0.0,1,0.5,1,0.5
semantic,hybrid,q18,paraphrase,Within how many days must a new employee complete mandatory training modules?,2,2.8,1375.4,data-privacy-policy.md__semantic__0002|onboarding-guide.md__semantic__0000|onboarding-guide.md__semantic__0001|remote-work-policy.md__semantic__0001|it-security-policy.md__semantic__0002,0,0.0,1,0.5,1,0.5
semantic,hybrid,q19,keyword,What is the daily per diem for domestic business travel?,2,2.4,951.0,data-privacy-policy.md__semantic__0002|travel-policy.md__semantic__0001|travel-policy.md__semantic__0002|expense-reimbursement-policy.md__semantic__0001|leave-policy.md__semantic__0002,0,0.0,1,0.5,1,0.5
semantic,hybrid,q20,paraphrase,How much parental leave does the primary caregiver receive?,2,2.0,1233.2,data-privacy-policy.md__semantic__0002|leave-policy.md__semantic__0002|benefits-policy.md__semantic__0001|leave-policy.md__semantic__0001|code-of-conduct.md__semantic__0002,0,0.0,1,0.5,1,0.5
hierarchical,semantic,q01,paraphrase,How many days of paid annual leave does a full-time employee receive?,1,1.6,216.6,leave-policy.md__hierarchical__0002|leave-policy.md__hierarchical__0017|leave-policy.md__hierarchical__0005|procurement-policy.md__hierarchical__0003|expense-reimbursement-policy.md__hierarchical__0013,1,1.0,1,1.0,1,1.0
hierarchical,semantic,q02,keyword,What is the carryover limit for unused annual leave days?,1,1.5,252.8,leave-policy.md__hierarchical__0005|travel-policy.md__hierarchical__0004|leave-policy.md__hierarchical__0008|expense-reimbursement-policy.md__hierarchical__0014|leave-policy.md__hierarchical__0013,1,1.0,1,1.0,1,1.0
hierarchical,semantic,q03,paraphrase,How much does the company reimburse per mile when I drive my own car?,2,3.5,182.2,expense-reimbursement-policy.md__hierarchical__0011|travel-policy.md__hierarchical__0010|procurement-policy.md__hierarchical__0008|remote-work-policy.md__hierarchical__0011|expense-reimbursement-policy.md__hierarchical__0014,0,0.0,1,0.5,1,0.5
hierarchical,semantic,q04,keyword,What is the submission deadline for expense claims after an expense is incurred?,4,2.1,189.2,expense-reimbursement-policy.md__hierarchical__0002|onboarding-guide.md__hierarchical__0008|benefits-policy.md__hierarchical__0011|expense-reimbursement-policy.md__hierarchical__0003|travel-policy.md__hierarchical__0004,0,0.0,0,0.0,1,0.25
hierarchical,semantic,q05,paraphrase,How quickly must an employee report a suspected security incident to IT?,1,1.6,253.2,it-security-policy.md__hierarchical__0011|code-of-conduct.md__hierarchical__0009|data-privacy-policy.md__hierarchical__0009|code-of-conduct.md__hierarchical__0006|data-privacy-policy.md__hierarchical__0001,1,1.0,1,1.0,1,1.0
hierarchical,semantic,q06,keyword,What encryption standard is used to protect personal data at rest?,1,1.4,278.4,data-privacy-policy.md__hierarchical__0006|data-privacy-policy.md__hierarchical__0001|data-privacy-policy.md__hierarchical__0002|data-privacy-policy.md__hierarchical__0012|it-security-policy.md__hierarchical__0012,1,1.0,1,1.0,1,1.0
hierarchical,semantic,q07,paraphrase,How long does Northwind have to notify the supervisory authority after discovering a data breach?,1,1.4,235.8,data-privacy-policy.md__hierarchical__0008|data-privacy-policy.md__hierarchical__0002|procurement-policy.md__hierarchical__0007|data-privacy-policy.md__hierarchical__0015|it-security-policy.md__hierarchical__0012,1,1.0,1,1.0,1,1.0
hierarchical,semantic,q08,keyword,What is the annual home-office stipend amount for remote workers?,1,1.7,224.2,remote-work-policy.md__hierarchical__0008|expense-reimbursement-policy.md__hierarchical__0014|leave-policy.md__hierarchical__0008|benefits-policy.md__hierarchical__0007|benefits-policy.md__hierarchical__0003,1,1.0,1,1.0,1,1.0
hierarchical,semantic,q09,paraphrase,After how many months of employment can someone start working from home?,4,1.4,230.8,benefits-policy.md__hierarchical__0005|remote-work-policy.md__hierarchical__0010|leave-policy.md__hierarchical__0011|remote-work-policy.md__hierarchical__0003|it-security-policy.md__hierarchical__0011,0,0.0,0,0.0,1,0.25
hierarchical,semantic,q10,keyword,What is the company-wide default anchor day for in-office attendance?,1,1.4,218.6,remote-work-policy.md__hierarchical__0005|data-privacy-policy.md__hierarchical__0008|expense-reimbursement-policy.md__hierarchical__0014|travel-policy.md__hierarchical__0011|leave-policy.md__hierarchical__0006,1,1.0,1,1.0,1,1.0
hierarchical,semantic,q11,keyword,What are the standard vendor payment terms in the procurement policy?,1,1.9,211.2,procurement-policy.md__hierarchical__0009|expense-reimbursement-policy.md__hierarchical__0011|travel-policy.md__hierarchical__0004|travel-policy.md__hierarchical__0007|data-privacy-policy.md__hierarchical__0008,1,1.0,1,1.0,1,1.0
